,purpose,amount
2054,courtesy-law enforcement,122.21
7335,t shirts ,122.14
8140,womenlegislatorsofmo scholarship fund contribution,122.0
5052,p.o. box rent,122.0
1545,candy for parades,121.88
5676,printed flyers,121.87
396,advertisement/post cards,121.73
6430,reimbursement for sams purchase  supply ,121.7
4654,mentor gift cards,121.62
5514,postage and envelopes and cards,121.48
140,4th july parades/booth,121.27
6370,reimbursement - green county dems mileage,121.22
3244,food/supplies,121.13
3509,golf food,120.93
1654,cell service,120.86
1809,college rep dinner,120.55
3639,hand cleaning towels and poster glass,120.51
6244,reimb. for supplies for parade,120.48
2854,external drive/ office supplies,120.41
5141,parade decorations ,120.33
2595,elected officials meeting,120.3
6425,reimbursement for phelps dems mileage,120.06
2080,cultural diversity luncheon,120.0
3623,gun range membership to do photos,120.0
8040,website ad,120.0
7600,transportation service,120.0
6515,rent for meeting room in 2020 ,120.0
315,ad-lindenwood directory,120.0
7542,tickets expense,120.0
8025,webhosting: oct-dec,120.0
2323,dinner registration,120.0
1134,campaign expense - signs,120.0
490,"advertising, speaking slot",120.0
1137,campaign expense-ellis signs,120.0
2351,direct mail production,120.0
1918,conference registration ,120.0
5557,postage/zoom,120.0
8024,webhosting sept- dec 2020,120.0
4409,maps,120.0
4634,membership & finance support,120.0
4132,lincoln day fee,120.0
269,ad campaign ,120.0
3018,filing late penalty,120.0
2107,data for digital match,120.0
4885,nra tickets,120.0
4395,majority caucus lunch,120.0
6578,republican picnic catering employees,120.0
541,amazon - office supplies reimbursement,120.0
885,breakfast for 12 persons,120.0
866,booth rental at picnic,120.0
3724,hotel ,120.0
2588,education seminar,120.0
604,apr- june webhosting,120.0
3906,jan-march webhosting,120.0
2565,dues 2020,120.0
1533,candidate pictures,120.0
5307,photo session,120.0
5723,printing - daily radio paper,120.0
6825,sign design service fee,120.0
3918,jul- sept webhosting,120.0
108,2nd ward senior christmas party donation,120.0
6678,sale items,120.0
6039,purchased campaign signs for members.             ,120.0
5418,political meeting,120.0
8215,yearly renewal webpage,120.0
40,12-month web site ,120.0
6279,reimburse for costco for fuel,119.99
2575,ebay campaign buttons reimbursement,119.99
2677,email vendor,119.96
5590,posters in america,119.95
2961,fee for opening zoom video account for meetings,119.92
6667,rowilux-reimburse for keep america great caps,119.9
1787,cloud storage,119.88
4903,office 365 add on for terrydotson.com,119.88
7229,storage subscription,119.88
5112,paper 4 newsletter/chili supper flyer,119.86
8023,webhosting expense,119.76
8037,website / email,119.76
6166,refreshments for open house,119.69
2973,fence post,119.67
5120,paper and envelopes ,119.51
3584,graphic design subscription,119.4
2204,design platform,119.4
3187,food for picnic,119.34
2082,cupcakes for campaign event,119.2
2726,envelopes/labels,119.12
7272,supplies - fundraiser,119.09
2044,correspondent fees,119.06
7395,table rental,118.91
3225,"food, beverage, and utensils",118.87
4030,launch party,118.84
2385,disputed charge back,118.81
4276,magnetic stickers for cars,118.6
7576,township xmas party food,118.56
1785,clothing ,118.5
5263,personnel expenses,118.48
5140,parade decorations,118.47
2329,dinner w/elected officials ,118.45
2773,event food/drinks,118.28
1165,campaign guest lunch,118.11
5054,p.o. box rental fee,118.0
877,box renwal,118.0
5045,p o box fee,118.0
5372,po box expense 1 year,118.0
7274,supplies - ice cream,117.99
5525,postage for golf tournament,117.75
3064,flag lapel pins,117.73
4264,lunches for volunteers,117.58
7505,thank you ad in paper,117.5
594,annual zoom subscription,117.42
3735,hotel for missouri democrats meeting,117.36
142,4th of july booth,117.25
1162,campaign give away masks,117.15
401,advertisine,117.07
923,bulk postage,117.0
1044,campaign bank service fee ,117.0
74,2019 state taxes,117.0
7953,watch party supplies,117.0
2554,dtabase management,117.0
5939,promotional pens,116.99
6835,sign material ,116.76
3739,hotel for up event,116.44
774,bean feed decorations,116.09
3123,food - mtg. and veterans day luncheon,116.08
7187,state texes,116.0
3823,install signs,116.0
3180,food for meet with the sheriff,115.65
36,"102.43 dining, 13.19 postage",115.62
1129,campaign event snacks,115.3
7864,volunteer meeting,115.22
4114,lincoln caucus food,115.2
3259,framing for news paper,115.0
6142,raychel proudie kinloch community clean up,115.0
4598,meeting meal,114.86
6315,reimburse forpoles & cable ties ,114.83
6559,repay for mask fabric,114.79
703,bank cc charges,114.74
6232,reimb meal (panera bread),114.63
1639,caucus supplies,114.61
3247,food/water/supplies ,114.44
6979,snacks ,114.06
962,buy signs,114.0
4311,mailbox renewal fee,114.0
8070,website host,114.0
6242,reimb watch party (schnucks),113.58
2546,drinks and snacks for guests,113.51
2545,drinks - watch party,113.41
5365,plumbing,113.41
2424,donated to zero account out,113.37
4537,meat for picnic,113.33
5873,printing: business cards and envelopes,113.19
7289,supplies for ravenwood pe department,113.13
4496,meal for volunteers,113.1
1561,capital liquor & c store: beverages reimbursement,113.01
997,campaig travel,113.0
669,award reimbursement,113.0
463,advertising inkpens,112.99
3732,hotel for filing day,112.72
3917,joe's bakery lunch w/historic washington reimburse,112.71
7097,sponsorship lunch,112.64
7561,toner cartridge & address labels,112.6
1102,campaign decals,112.6
6400,reimbursement for campaign supplies,112.53
6376,reimbursement - saline county dems mileage,112.52
581,annual membership dues,112.5
6521,rent fund raiser,112.5
2923,fair booth rental fee,112.5
6406,reimbursement for fundraising shirts,112.29
6278,reimburse for club shirt order,112.29
2981,festival flyer,112.2
6681,sam's club-parade candy reimb.,112.1
5926,promotional gear,112.0
876,box renewal,112.0
1906,condiments for mouse races,112.0
7651,trophies for pool tournament,112.0
1080,campaign cloudware,111.99
5768,printing campaign flyers,111.93
4266,macote - reimburse for keep america great caps,111.9
2965,feed workers,111.74
5941,promotional t shirts,111.71
7920,voter registration/absentee ballot app event,111.57
5361,"plates, utensils and napkins for kickoff",111.17
7573,town hall food,110.86
5029,other food for bbq,110.85
4942,office supplies (envelopes),110.79
4946,office supplies - printer ink,110.69
2007,contribution processing fee ,110.42000000000002
2924,fair booth supplies ,110.41
3210,food for watch party,110.38
2779,event lodging,110.14
2563,dues - 5 members,110.0
1487,campaign worke,110.0
5559,postal stamps,110.0
5510,postage & supplies,110.0
2269,digital consulting ,110.0
5548,"postage,etc",110.0
4777,national guard anniversary ball,110.0
4390,mailng,110.0
4581,meet candidate golf tournament entry fee ck017,110.0
4995,online meeting expense,109.98
787,"best buy a/v equipment, loomly social media tool",109.91
3085,flowers for wanda mehrhoff's mother's funeral,109.9
3168,food for grand opening,109.82
952,button materials,109.81
3256,framing bill,109.8
3197,food for school group,109.7
5167,party supplies,109.56
7216,stickers/advertising,109.56
61,200 1st class postage stamps- labor mailing,109.5
4209,locksmith,109.37
8106,welcome home charity event,109.34
5823,printing programs,109.16
6, dues ,109.0
174,5k walk,109.0
5742,printing - stickers,108.99
3945,june expenses,108.79
5162,party decorations for trump birthday party,108.78
1320,campaign post  and materials ,108.67
3243,food/drinks holiday party,108.64
3115,folding,108.51
8133,wire stands for signs ,108.33
6439,reimbursement for table cloths,108.27
223,accounting fees/licenses & fees,108.25
222,accounting fees/fees and licenses,108.25
6558,repair,108.15
3081,flowers for funeral,108.1
3423,funeral plant,108.0
8046,website annual renewal fee,108.0
2905,facility rent jan - mar,108.0
763,bartenders,108.0
3652,handout cards,107.98
3647,hand-out cards,107.98
2534,dot com fee,107.88
3721,hosting renewal,107.88
7581,tposts and driver,107.87
667,award for dinner,107.84
4443,marketing-print,107.8
3149,food for campaign meeting ,107.76
4595,meeting fee,107.72
3890,ipads for mgr and candidate,107.27
3440,gas for campaigning,107.25
6689,sams club for bbq food reimbursement,107.23
6688,sams club - ice and drinks reimbursement,107.17
5555,postage/rosebud cards,107.15
7548,tickets to fundraiser,107.1
3762,hq liability insurance,107.0
3125,food - watch party,107.0
2307,dining expense,106.92
2634,election watch,106.86
2152,decorations for trump birthday party,106.65
6013,purchase of trump hats and pins through amazon ,106.53
6234,reimb office max & fedex office for event supplies,106.41
6040,purchased campaign yard signs,106.4
6047,push card literature,106.37
1551,canned goods for team food pantry,106.32
6831,sign holders,106.3
981,cakes for lincoln day dinner,106.18
5048,p.o. box,106.0
587,annual po box rent,106.0
5377,po box payment,106.0
5374,po box fee #142,106.0
5501,post office box renewal fee,106.0
586,annual po box payment,106.0
5499,post office box for campaign,106.0
7737,usps po box dues,106.0
2584,editorial yes on 3,106.0
7738,usps-po box reimbursement,106.0
6833,sign manufacturing,105.96
3606,greene co caucus meeting,105.82
6838,"sign materials, posts, cable ties",105.8
5692,printed push pieces,105.68
2530,door prize/gift,105.68
3229,"food, snacks and water for volunteers",105.62
6627,returned check and fees,105.5
5657,print push cards,105.47
1591,cards/mail,105.42
1600,catered dinner,105.42
6350,reimburse/lodging,105.42
5704,printer ink cartridges,105.33
3881,invitations,105.29
4138,lincoln day supplies,105.26
3666,haul eqpt & toys,105.25
7750,utility reimbursement,105.1
549,american flags for signs,105.07
2982,festival permit,105.0
5341,pizza for grade school visitors to capitol,105.0
7206,sticker due to election date change,105.0
8160,yard sign pickup,105.0
2328,dinner tickets and ad,105.0
4116,lincoln day - graphic design,105.0
6533,rent space for sweet corn festival,105.0
1006,campaign 2022,105.0
8108,wensite hosting,105.0
2583,editorial medicaid expansion,105.0
6325,reimburse postage/usps maplewood,105.0
7143,stamps (thank you post card),105.0
1444,campaign t-shirts ordered from rush order tees,105.0
4463,masks to donate,105.0
4139,lincoln day tickets,105.0
6742,seniors yard signs,105.0
3398,fundraising phone service ,104.95
796,beverages for meet and greet,104.79
6320,reimburse paint & paper purchased,104.71
931,"buns,tableware",104.65
3820,"ink pens, sharpies, and post it notes",104.49
5622,primary election watch party supplies,104.45
600,appetizers,104.33
4669,metal stakes for signs,104.31
1369,campaign sign sticker,104.31
8031,websit & domain,104.26
4868,notecards,104.2
2707,entertainment/food,104.19
729,banner ,104.14
3985,"labels, envelopes, ty notes, & office supplies",104.11
2937,fall decorations for fall festival float,104.05
4690,mileage for dem caucus,104.0
3675,headquarters insurance,104.0
7838,vinyl decals,103.88
3764,hq maintenance,103.88
3146,food for campaign event,103.81
8232,zoom live interpretation,103.77
6839,sign numbers,103.75
1273,campaign meeting expense,103.57
5179,payback for parade expenses,103.57
2541,down payment on gun for gun raffle,103.5
4864,nonprofit event ticket,103.45
734,banner manufacturing,103.43
7941,walmart watch party supplies reimbursement,103.3
948,business trip (campaign related),103.25
3106,flyers/announcements,103.15
3122,food - lunches,103.0
6385,reimbursement alive sponsor,103.0
3448,gas put up signs,103.0
802,biden buttons,102.91
6404,reimbursement for flyer copies,102.86
1550,canidate cards,102.82
1306,campaign phone and minutes,102.79
940,business cards and office supplies,102.72
1430,campaign supplie,102.63
7430,tech equipment,102.62
6876,signage removal,102.55
7616,travel expense to oppose amendment 2,102.54
5826,printing reimburse for vista print,102.47
7565,tools for sign posts,102.39
3815,ink and paper,102.38
5602,pr magnets,102.37
2770,event food and drink,102.28
7931,walk cards/donation envelopes,102.27
5697,printer cartridge,102.25
5819,printing parson flyer,102.19
2969,fees ,102.15
4540,mec fee,102.15
4023,late filing fee and cc chg,102.15
842,blue book,102.15
3195,food for reception for elected officials,102.0
5992,purchase merchandise ,102.0
8007,web site maintenance,102.0
4647,membership/meeting space,102.0
1047,campaign banners ordered from banners on the cheap,101.91
5865,printing/mailing supplies,101.89
7848,visitor lunch,101.83
2390,district fuel,101.83
4912,office filing,101.75
7741,utilities ,101.72
2306,dining - meeting,101.71
3766,hq open house supplies,101.6
2636,election watch party food,101.53
7603,trash service for headquarters,101.5
7136,stakes,101.34
4467,material for signs  #1036 reimbursement t thompson,100.97
4629,member renewal & event supplies,100.81
7118,staff breakfast,100.64
6349,reimburse-lincoln day award,100.59
3209,food for volunteers/workers,100.57
2641,electric utility,100.47
1472,campaign volunteer lunch,100.4
4928,office refreshments,100.39
8064,website donation fees,100.3
7647,trivia round sponsor,100.0
861,booth fee  ,100.0
3793,in memory of david fogelbach,100.0
8139,women's march ad,100.0
935,business bond-mo dishonesty a non profit,100.0
2903,facility rent for event,100.0
7083,sponsorship advertisement,100.0
4648,memebrship,100.0
3338,fundraiser sponsorship,100.0
1524,candidate ,100.0
7650,trivia sponsorship,100.0
4886,nw acquisition-election day refreshments reimb,100.0
4633,membership  dues,100.0
5205,payroll ,100.0
7686,trumpbuttons.com-reimburse for buttons,100.0
546,amendment #3 signs,100.0
7077,sponsoring fireworks,100.0
3028,final payment toward gun,100.0
5207,payroll deposit,100.0
2513,door hanger deposit,100.0
7678,trump signs (reimb.),100.0
6510,rent for facility for fundraiser,100.0
2626,election night watch party rental,100.0
8077,website maintanance,100.0
4118,lincoln day ads,100.0
7070,sponsor trivia night,100.0
7068,sponsor scholarship fund,100.0
3334,fundraiser rental,100.0
7324,swearing in ceremony,100.0
8138,women's caucus dues,100.0
8107,wensite,100.0
2974,fence post ,100.0
4898,odessa football ads,100.0
6270,reimburse feb 12 ad optic,100.0
2941,farmer's market fee,100.0
3534,golf tournament hole sponsor,100.0
4036,leadership awards dinner - prayer,100.0
2284,digital media production ,100.0
6778,sgns ,100.0
2228,dialer set up,100.0
1141,campaign filing fee,100.0
1139,campaign expenses - sub items below threshold,100.0
6408,reimbursement for hats ,100.0
2177,deposit for lincoln day dinner,100.0
4038,leadership dinner - prayer,100.0
7571,tourney sponsor,100.0
6599,researech,100.0
6200,reim exp - office exp - cell phone stipend,100.0
6622,return of campaigne contributions,100.0
6206,reim. expense - cell phone stipend,100.0
2202,design mailer,100.0
3096,flyers & lables,100.0
4605,meeting registration,100.0
2444,donation /dinner,100.0
7528,thru talk,100.0
6362,reimbursement - bank fees,100.0
7958,water deposit,100.0
2010,contribution to non-profit,100.0
6651,rodeo campaign,100.0
293,ad in program book,100.0
6340,reimburse- national women's political caucus gala ,100.0
2324,dinner sponsor,100.0
3643,hand sanitizer,100.0
2907,facility rent mar,100.0
7059,sponsor event,100.0
7055,sponsor ,100.0
313,ad space,100.0
1354,campaign shirts - polos,100.0
1919,conference room for retreat,100.0
3513,golf hole sponsor ,100.0
5409,political dues,100.0
3632,hall rental for fundraiser,100.0
5621,primary election filing fee,100.0
2312,dinner auction donation,100.0
7437,tee box sign location,100.0
2169,deposit 4 reagan days hall rental,100.0
7441,tee sponsorship,100.0
4858,night at the races benefit,100.0
6190,registration ,100.0
5593,posting recording facebook,100.0
6611,retiree membership - 1 yr.,100.0
585,annual party dues,100.0
80,2020 cacuss hall reental,100.0
173,5k sponsor,100.0
7093,sponsorship for local horseshow,100.0
1766,clean up after trivia,100.0
810,biden-harris signs,100.0
3953,kc animal health homecoming event table,100.0
1737,christmas dinner service,100.0
3061,fixtures for office,100.0
616,art work on lincoln day printing,100.0
7102,sponsorship-auction,100.0
4631,membershiip dues,100.0
3269,friends of the fort rock the block,100.0
3971,kkty sponsorship,100.0
4675,mic convention expense,100.0
5165,party fundraiser,100.0
3981,labeling,100.0
6768,set up advertising booth,100.0
6328,reimburse pulaski county fair sponsorship ck013,100.0
3754,house caucus dues,100.0
8213,yearly dues,100.0
781,benefit gala,100.0
3714,honor guard donation,100.0
6722,security/driver,100.0
7098,sponsorship mouse races benefit,100.0
2455,donation for food pantry ,100.0
3690,healthworks kids museum-event tickets reimb,100.0
5647,print design/palm cards,100.0
2844,expense,100.0
4588,meeting change for trump sales,100.0
6132,raffle tickets/banquet,100.0
17,1 hour canvass- lit drop,100.0
2431,donation - 29th annual golf tour - hole sponsor,100.0
4589,meeting clean up,100.0
1759,citizen of the year,100.0
3323,fundraiser for pta,100.0
4947,office supplies and campaign supplies,100.0
4103,liabiity insurance for pcrc at republican hq,100.0
2457,donation for masses,100.0
3059,fix leak hq ,100.0
7090,sponsorship event ,100.0
7100,sponsorship of event,100.0
1612,catering for elction watch party,100.0
1584,cardinal tickets for raffle,100.0
6136,raise your stick fund,100.0
7087,sponsorship barrel race,100.0
2497,donation/coat drive,100.0
6698,scholarship fund,100.0
6447,reimbursement for yard signs,100.0
1763,clay tournament ad,100.0
7832,village aglow-event tickets reimb,100.0
6175,refund lincoln days,100.0
82,2020 filing fee,100.0
1901,computer software,99.99
4904,office 365 software,99.99
1897,computer payment,99.99
566,annual computer service agreement,99.99
7036,software license,99.99
4247,lunch for dem house members,99.3
4998,online payment fees for donations - oppose prop s ,99.14
7022,social media subscription,98.94
2157,deliver signs,98.85
2960,fee for credit card processing,98.22999999999999
5589,poster printing (internal use),98.19
874,box fee,98.0
6007,purchase of plaques to present during fundraiser,98.0
4924,office phone,97.97
3238,food/drink for uaw picket,97.95
7994,web regisration,97.0
7190,statement fee,97.0
3626,half of template for signs,96.81
4014,last half of template for signs,96.8
3902,jacket for fundraiser,96.62
1433,campaign supplies--envelopes,96.32
3148,food for campaign meeting,96.22
6159,redtail technology-software reimb,96.0
2133,davegragg.com,96.0
7258,subway-election day refreshments reimb,96.0
572,annual domain fee,96.0
3444,gas for putting up signs,95.5
3109,flyers/handouts,95.34
6032,purchase trump bracelets on amazon,95.32
5311,photo shoot food,95.26
6686,sams cellar - event expense,95.0
7503,thank you ad bbq,95.0
1648,cell phone accessories,94.28
6983,snacks for students,94.25
7116,staff & guest meal,94.16
583,annual p.o. box subscription fee,94.0
1295,campaign office supplies,92.74
930,"buns, chips and soda for meet and greet",92.64
7292,supplies for sponsored breast cancer brunch,92.64
4617,meeting with dnors/supporters,92.39
7504,thank you ad for bbq,92.0
5500,post office box renewal,92.0
974,"cable ties, stakes, steel post driver",91.98
7950,watch party food,91.93
3846,internet domain,91.64
153,4x8 for posts,91.6
299,ad letter & tickets,90.89
4275,magnetic signs ,90.86
1330,campaign printing for event,90.79
6862,sign stands,90.37
383,advertisement ck#023,90.0
7519,thanks ad,90.0
7051,sponser,90.0
665,award engraving,90.0
6435,reimbursement for silent auction basket items,90.0
6851,sign printage,90.0
2699,enewsletter service,89.96
6249,reimbruse for a mailing for kathy swan,89.7
7391,table cloths,89.44
4166,lit drop lunch,89.3
6345,reimburse- schnucks food for event,89.25
6367,reimbursement - como laquinta lodging,89.25
7265,sunshine request,89.12
6386,reimbursement buttons & bumpers,88.9
6213,reimb for budget for rental cal,88.78
2697,endorsement postcards in support of mike parson,88.5
2696,endorsement postcards in support of mike kehoe,88.5
2695,endorsement postcards in support of lee ann pitman,88.5
2693,endorsement cards in support of eric schmitt,88.5
5883,processing,88.26
7325,sympathy floral-andy clark,87.58
5900,production of video,87.5
953,button printing,87.34
4650,memorial flowers,86.88
1371,campaign sign supplies,86.67
2035,copies/letters,86.58
993,camera tripod,86.35
677,back-the-blue (decorations),86.25
6202,reim exp - travel - mileage,86.25
3737,hotel for presenter for seminar,86.04
248,actblue charges,85.99
4875,novelties,85.8
798,beverages volunteers,85.77
6301,reimburse for paper,85.72
5098,palm cards bags,85.54
5436,political website,85.54
7626,travel reimbursement for fundraiser event in sedal,85.45
2504,donuts for essential workers,85.2
5360,plat book,85.0
7115,st. pats day parade registration,85.0
595,app,85.0
2692,end of year tax processing,85.0
8112,wet wipes,84.5
7872,volunteers food,84.5
2383,display holders for push cards,84.39
4261,lunch w/elected officials ,84.22
3130,food and drink for volunteers,84.19999999999999
7346,t-post and plastic ties,83.68
6162,refreshments and cups for campaign event,83.28
3895,it support,83.25999999999999
5821,printing postcards,83.01
4747,monthly service fee,83.0
1453,campaign telephone minutes,82.66
3786,ice cream,82.42
5835,printing stickers,81.64
679,back-the-blue (flowers),81.38
7366,t-shirt printing deposit,81.21
7365,t-shirt printing balance,81.21
6228,reimb for vista print for map,80.98
7960,water for hq,80.8
5343,pizza for lit drop workers,80.55
2042,copying paper and printer ink,80.5
4559,media consulting ,80.39
6986,snacks/water for poll workers,80.37
4309,mailbox expense,80.0
6226,reimb for stl co election board for map,80.0
3822,inspection,80.0
3472,gift cards for fund raiser,80.0
1347,campaign school,80.0
377,advertise for ken mooney,80.0
1353,campaign shirts - jackets,80.0
733,banner hardware,79.98
4921,office max - hp printer ink reimbursement        ,79.79
4448,"marsh enterprises llc-reimburse for buttons, pins",79.78
2850,expenses for reception,79.14
3132,food and drinks for campaign volunteers,78.48
839,black and magenta printer ink,78.29
3649,handbills ,78.19
795,beverages for lit drop and election day,78.15
6209,reim. godaddy website,78.05
7506,thank you ad.,78.0
7501,thank you,78.0
6224,reimb for rock community fire protection/permit,78.0
167,500 envelopes and return labels for invitations,77.93
2812,event soft drinks,77.71
3616,guest & staff meal,77.61
6947,signs-photos,77.54
4055,"legal pads, ink pens, clip boards",77.44
3359,fundraising and parade expense,77.33
3426,g suite fee,76.8
2153,decorations from target,76.52
980,cakes for airport appreciation,76.01
7768,vehicle fuel,76.0
1312,campaign photo,75.81
6920,signs for parade,75.76
5124,paper goods for fundraiser,75.28999999999999
7535,ticket printing,75.18
3159,food for cookout,75.11
7976,web domain name renewal,75.0
7811,video editing,75.0
6967,site rental,75.0
21,1/2 page lincoln day ad,75.0
5305,photo for campaign printing,75.0
1148,campaign flyer ,75.0
1773,cloria brown reception,75.0
1689,charity auction item,75.0
7062,sponsor for event,75.0
1760,citizens for modern transit-event tickets reimb,75.0
2046,cost of research/copies of kcps records,75.0
3970,kitche rental,75.0
4291,mail list,75.0
67,2019 1120-pol tax return,75.0
986,call list,75.0
4591,meeting event space,75.0
3913,jersey shadow box display,75.0
258,ad ,75.0
6112,radio campaing ads,75.0
6303,reimburse for sams club for food/grand opening,74.79
933,bus cards/adds,74.6
7523,third party giving site,74.48999999999998
6031,purchase t-shirts ,74.44
2134,days inn-lodging reimbursement,74.3
3450,gas travel,74.25
2403,doation envelopes,74.24
7428,team meeting following republican gala,74.01
5211,payroll fee,74.0
5087,paint supplies,73.87
2611,election day supplies from dollar tree,73.86
928,bungee cords,73.86
6306,reimburse for shirts from custom,73.79
4457,masks for campaign events,73.64
7580,tposts,73.48
5308,photo session supplies,73.03
306,ad paper,72.93
2694,endorsement flyers,72.85
7518,thank you stickers,72.74
4769,name stickers ,72.25
979,cake supplies,72.09
2672,email server,72.0
5640,print and envelopes,71.92
3983,labels for direct mail,71.6
7031,soda & ice,71.5
2132,date stickers for signs,71.5
1563,capital office snacks,71.1
8131,wire fee,71.0
5708,printin,70.92
7471,terrydotson.com - website,70.87
387,advertisement for lincoln day event,70.8
3468,gift bags for valentine day candy for senior citiz,70.65
2155,deli tray for clarks,70.26
7277,supplies for 4x8 signs,70.23
87,2020 planning meeting,70.17
4278,maiing,70.0
917,building rental lincoln day,70.0
6310,reimburse for stl co election board maps,70.0
5171,pavilion rental - meeting,70.0
382,advertisement 2 ads 1 sponsor ad,70.0
2018,convention fee,70.0
6844,sign post zip ties,69.49
6346,reimburse- us post office stamps for invites,69.3
3413,fundraising tickets,69.08
8020,webcam for computer,68.99
7185,state rep jacket ,68.82
4447,marsh enterprises llc-reimburse for buttons,68.8
815,bill framing,68.76
177,6 t-posts for 4x8 signs,68.7
2607,election day lunch for volunteers,68.7
4706,mileage reimbursement to marquand event,68.43
4501,meal reimbursement,68.38
3614,grommets for signs,68.11
1898,computer printer labels and printer ink,67.88
797,beverages for volunteers,67.52
5698,printer cartridges,67.48
1311,campaign phot,67.15
6793,shirtd,66.96
4149,lincoln days luncheon,66.92
4771,name tags and decorations,66.88
6842,sign post,66.53
2091,cyan and yellow printer ink,66.33
3264,fredrick donation processing fee,66.3
1540,candy and soda for kickoff,66.3
2154,decorations/table cloths,66.23
6751,september expense,66.22
2128,database services for the quarter,66.0
2717,envelopes and ink cartidge,66.0
2718,envelopes and labels,65.78
5433,political signs post,65.69
4702,mileage reimbursement - county clerk's mtg,65.67
5197,payment processing fees,65.62
1060,campaign business cards,65.58
5085,paint for republican hq,65.15
5907,program printing,65.01
2971,feet pins,65.0
7232,storage unit move-in payment,65.0
4932,office rent fee,65.0
1729,chilli supper,65.0
7810,video creation service,65.0
7820,video service,65.0
5019,order checks,64.9
6131,raffle tickets printing,64.55
7282,supplies for meeting,64.53999999999999
1130,campaign event snacks and refreshments,64.49
3433,gala programs - printing,64.22
7359,t-posts/zip ties,63.99
7545,tickets for upcoming raffle,63.95
2549,drinks for guest,63.28
7032,"soda, paperware",62.97
3813,initial banking account fees ,62.79
3789,ice for fundraiser,62.7
2398,diversity breakfast ticket,62.5
2638,election watch party venue,62.5
7861,volunteer gift,62.5
6846,sign posts & ties,62.47
7957,water bill hq,62.2
702,bank account checks,62.11
5075,pac taxes - missouri department of revenue,62.0
3080,flowers for deceased member,61.98
2079,cruise trophy,61.96
332,address labels,61.5
7859,volunteer event,61.23
941,business cards campaign,61.17
1365,campaign sign post,61.0
300,ad lincoln days brochure,60.0
7221,stop payment fee on check,60.0
1213,campaign magnets,60.0
4241,luggage fee. slc transpo conf,60.0
1667,chamber dinner tickets,60.0
7991,web page host,60.0
555,animal shelter fundraiser,60.0
4533,meals/welcome home charity fundraiser,60.0
3065,flag pole kit,59.99
8017,web support,59.99
2989,field crew on signs- lunch,59.96
3758,hq button making supplies,59.95
6715,search engine fee,59.85
7209,stickers for advertising,59.66
7389,table card holders,59.64
8132,wire stakes for signs,59.62
8111,weston enterprises - event expense,59.47
1578,car stickers?,59.28
2538,doughnuts for meet and greet event ,59.24
7788,veterans day ad,59.0
6239,reimb printing fedex,58.99
4112,lighting for webex hearings,58.94
3796,incorporation fee,58.0
4528,meals with constituants,57.94
5893,processing fees on credit card transactions,57.88
6289,reimburse for lincoln day literature,57.88
4506,meal with constitutants,57.81
972,cable ties and t posts for signs,57.7
7307,supplioes,57.06
1817,commission fees,57.019999999999996
2859,face masks for election dy,56.99
7135,stake frame 10x30,56.88
6291,reimburse for lowes for office supplies,56.84
6449,reimbursement money order for picnic permit,56.5
5989,purchase hats,56.49
1546,candy from target,56.48
8094,website template,56.35
3396,fundraising meals expense,56.23
5913,programs for winterfest event,56.02
5368,po box annual fee,56.0
5725,printing - fliers,55.94
8158,yard sign equipment,55.67
7350,t-post/volunteer drinks,55.64
3976,koster donation processing fee,55.3
4920,office max - event supplies,55.2
28,100 stamps ,55.0
6348,reimburse- uspsstamps,55.0
8210,year book,55.0
5530,postage for member thank yous,55.0
6235,reimb postage usps,55.0
7142,stamps ,55.0
6335,reimburse usps postage,55.0
7916,voter registration,55.0
7158,stamps/postage,55.0
7390,table cloth rent,55.0
5384,poastage,55.0
1470,campaign virtual conference,54.99
2189,deposit slip printing,54.82
4678,microwave for hq,54.48
3258,framing for auction prints,54.19
3083,flowers for memorial service,54.05
4824,newspaper ad for caucus ,54.0
7775,vehicle signs,53.99
3702,holder for the push cards,53.98
6981,snacks and prizes for fundraiser,53.08
6442,reimbursement for voter list ,52.99
2131,date sitckers,52.67
7196,"stationary, postage",52.58
7288,supplies for pumpkin daze,52.5
4749,more flags,52.45
7634,treats for farmer's market,51.96
6229,reimb for wicked willies for meal,51.9
2422,donate remaining balance,51.8
1748,christmas parade entry,51.29
268,ad campaign,51.04
7113,st. charles district maps,51.0
7074,sponsored ads,50.59
5779,printing event invitations,50.4
3205,food for supporters,50.31
1812,color letterhead,50.14
1718,checksunlimited.com reimb ck printing order ,50.09
3687,health permit,50.0
2572,dunnegan park pavilion rental,50.0
5185,payment for future services,50.0
2503,donuts for customers,50.0
4689,mileage for constituent work,50.0
3372,fundraising dinner,50.0
5070,pac registration fee,50.0
7689,tshirt  deposit,50.0
2979,festival,50.0
2615,election filing,50.0
5154,park rental for picnic,50.0
6383,reimbursement -dollar general nov breakfast ,50.0
4106,liberty hs graduation congratulations ad,50.0
569,annual dinner,50.0
3336,fundraiser space,50.0
7094,sponsorship for shop with a hero,50.0
6381,reimbursement - volunteer incentive,50.0
5163,party fee,50.0
3705,hole sponsorship for golf tournament,50.0
7913,voter records,50.0
3610,greentree parade,50.0
3631,hall rental for christmas party,50.0
478,advertising purchase,50.0
326,additional rental fee,50.0
3420,funeral,50.0
3452,gather voter signatures,50.0
6656,room rent,50.0
3008,filing ,50.0
3012,filing fee 2019,50.0
4768,name search,50.0
483,advertising talent fee,50.0
4183,literature design,50.0
